cas clinique 84
red, irritated eyes | 9826008 | Conjunctivitis (disorder)
Sportif de haut niveau | UNKNOWN | UNKNOWN
palpitations | 80313002 | Palpitations (finding)
suppléments diététiques | 226358005 | Dietary supplement (substance)
Épreuve d'effort | 252359005 | Exercise stress test (procedure)

cas clinique 17 cardiologie
malaise | 271594007 | Syncope (disorder)
perte de connaissance | 271594007 | Syncope (disorder)
diabète de type 2 | 44054006 | Diabetes mellitus type 2 (disorder)
HTA | 38341003 | Hypertensive disorder (systemic arterial) (disorder)
candésartan | 386872003 | Candesartan (substance)
hydrochlorothiazide | 387544000 | Hydrochlorothiazide (substance)
metformine | 372567009 | Metformin (substance)
spironolactone | 387420009 | Spironolactone (substance)
hématome en lunette | UNKNOWN | UNKNOWN
clairance de la créatinine estimée à 42 mL/min | 431855005 | Decreased creatinine clearance (finding)

cas clinique 18 cardiologie
Dyspnée d'aggravation progressive | 267036007 | Dyspnea (finding)
œdèmes des membres inférieurs | 449707004 | Edema of lower extremity (finding)
prise de poids récente de 4 kg | 161833006 | Weight gain (finding)
appendicectomie | 80146002 | Appendectomy (procedure)
glaucome | 23986001 | Glaucoma (disorder)
Xalatan® | 386961008 | Latanoprost (substance)
tabagisme estimé à 30 paquets-années non sevré | 77176002 | Smoker (finding)
AINS | 372729009 | Non-steroidal anti-inflammatory drug (substance)
Voltarène® | 387458008 | Diclofenac (substance)
lombalgies chroniques | 278860009 | Chronic low back pain (disorder)
Consommation de 2 verres de vin par repas | 160593006 | Heavy alcohol consumption (finding)
Choc de pointe étalé | UNKNOWN | UNKNOWN
souffle holosystolique de pointe | 36680007 | Mitral valve regurgitation (disorder)
râles crépitants bilatéraux | 48409008 | Crackles of lung (finding)
Turgescence jugulaire | 248511005 | Jugular venous distension (finding)
reflux hépatojugulaire | UNKNOWN | UNKNOWN
NT-proBNP à 5 676 pg/mL | UNKNOWN | UNKNOWN
VGM à 100 | UNKNOWN | UNKNOWN
GT à 1,5 fois la normale | UNKNOWN | UNKNOWN
troponinémie nulle | UNKNOWN | UNKNOWN
dyspnée au stade II de la NYHA | UNKNOWN | UNKNOWN

cas clinique 19 cardiologie
Dyspnée aiguë | 267036007 | Acute dyspnea (finding)
cure chirurgicale de hernie inguinale | 429559004 | Repair of inguinal hernia (procedure)
phlébite postopératoire | 195394007 | Deep venous thrombosis (disorder)
cancer colique | 363406005 | Malignant tumor of colon (disorder)
chimiothérapie | 367336001 | Chemotherapy (procedure)
asthénique | 13791008 | Asthenia (finding)
alité depuis une semaine | 248234008 | Bedridden (finding)
Polypnée | 386813002 | Tachypnea (finding)
tirage | 271825005 | Intercostal retraction (finding)
balancement thoraco-abdominal | UNKNOWN | UNKNOWN
SpO2 à 85 % | 165517008 | Oxygen saturation below reference range (finding)
fièvre à 38,5° | 386661006 | Fever (finding)
Expectoration de sang noirâtre | 66857006 | Hemoptysis (finding)
Murmure vésiculaire diminué | UNKNOWN | UNKNOWN
Frottement pleural | 196075003 | Pleural friction rub (finding)
matité de la base gauche à la percussion | UNKNOWN | UNKNOWN

cas clinique 20 cardiologie
dyspnée aiguë | 267036007 | Acute dyspnea (finding)
HTA | 38341003 | Hypertensive disorder (systemic arterial) (disorder)
dyslipidémie | 370992007 | Dyslipidemia (disorder)
arthrose des genoux bilatérale | 239873007 | Osteoarthritis of knee (disorder)
obésité | 414916001 | Obesity (disorder)
cataracte gauche opérée | 232717009 | Cataract extraction (procedure)
hystérectomie totale | 236886002 | Total hysterectomy (procedure)
fibrome | 95315005 | Uterine leiomyoma (disorder)
fatigue extrême | 84229001 | Fatigue (finding)
orthopnée | 78275009 | Orthopnea (finding)
Imovane® | 386874009 | Zopiclone (substance)
Lipanthyl® | 387249000 | Fenofibrate (substance)
Propofan® | UNKNOWN | UNKNOWN
Burinex® | 387544003 | Bumetanide (substance)
Kaleorid® | 88480006 | Potassium (substance)
Très dyspnéique | 267036007 | Dyspnea (finding)
hypotension artérielle | 45007003 | Hypotension (disorder)
Saturation à 88 % sous 9 litres d'oxygène | 165517008 | Oxygen saturation below reference range (finding)
marbrures | 247441003 | Mottling of skin (finding)
Mollet gauche sensible | 162397003 | Calf tenderness (finding)
Turgescence jugulaire | 248511005 | Jugular venous distension (finding)

cas clinique 21 cardiologie
Hypertendu ancien | 38341003 | Hypertensive disorder (systemic arterial) (disorder)
bourdonnements d'oreille | 60862001 | Tinnitus (finding)
pression artérielle élevés | 38341003 | Hypertensive disorder (systemic arterial) (disorder)
Vie professionnelle agitée | UNKNOWN | UNKNOWN
repas mal équilibrés | UNKNOWN | UNKNOWN
goût prononcé pour les plats salés | UNKNOWN | UNKNOWN
Ronflement chronique | 72863001 | Snoring (finding)
périndopril | 386872002 | Perindopril (substance)
indapamide | 387475001 | Indapamide (substance)
vérapamil | 387141005 | Verapamil (substance)
Ibuprofène | 387207008 | Ibuprofen (substance)
tendinite rotulienne | 202855006 | Patellar tendinitis (disorder)
obésité | 414916001 | Obesity (disorder)

cas clinique 22 cardiologie
douleur thoracique d'apparition brutale et persistante | 29857009 | Chest pain (finding)
lisinopril | 386872009 | Lisinopril (substance)
simvastatine | 387584005 | Simvastatin (substance)
hypercholestérolémie | 13644009 | Hypercholesterolemia (disorder)
épisode grippal | 6142004 | Influenza (disorder)
fièvre à 38,7° | 386661006 | Fever (finding)
douleur rétrosternale à type de brûlure | 29857009 | Chest pain (finding)
irradiant dans le dos | UNKNOWN | UNKNOWN
trinitrine sublinguale | 387404004 | Glyceryl trinitrate (substance)
douleur augmentée par inspiration profonde et toux | UNKNOWN | UNKNOWN
douleurs musculaires au niveau des cuisses | 68962001 | Myalgia (finding)
crampes au repos | 449917004 | Muscle cramp (finding)
toux sèche irritative | 11833005 | Dry cough (finding)

cas clinique 23 cardiologie
Douleurs de jambe droite | 10601006 | Pain in lower limb (finding)
maladie post-thrombotique | 128053003 | Post-thrombotic syndrome (disorder)
séquelles ilio-fémorales droites | UNKNOWN | UNKNOWN
plaie de jambe droite ne cicatrisant pas | 46742003 | Ulcer of lower limb (disorder)
